Timestamp,Date,Measure,USDT,USDC,BUSD,PYUSD,USDM,GYEN,EUROe,EURCV,EURC,EURT,AGEUR,EURS,USDP,ZUSD,GUSD,FDUSD,USDe,GHO,USDV,FRAX,DAI,MXNT,CNHT,USDD,VCHF,TRYB,AUDD,BEAN,XIDR,USDGLO,LUSD,XSGD,sUSD,sEUR,1GBP,BRZ,IDRT,AUDF,BSC-BUSD,BSC-USD,USDL,aUSDT,USD0,AUSD,USDz,AEUR,M,deUSD
1511827200000,2017-11-28,Circulating Market Value (Dollar),10005.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511913600000,2017-11-29,Circulating Market Value (Dollar),10191.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512000000000,2017-11-30,Circulating Market Value (Dollar),10089.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512086400000,2017-12-01,Circulating Market Value (Dollar),10084.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512172800000,2017-12-02,Circulating Market Value (Dollar),9996.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512259200000,2017-12-03,Circulating Market Value (Dollar),9936.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512345600000,2017-12-04,Circulating Market Value (Dollar),10017.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512432000000,2017-12-05,Circulating Market Value (Dollar),10023.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512518400000,2017-12-06,Circulating Market Value (Dollar),10093.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512604800000,2017-12-07,Circulating Market Value (Dollar),10312.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
