,ETH Price,BTC Price,ETH_Comp,BTC_Comp,Cash,ETH_Value,BTC_Value,Total_Value,ETH_Percentage,BTC_Percentage,Cash_Percentage
2024-08-25 18:00:00,2765.96,63935.0,47.640134818108145,2.0576022461438774,0,131770.7073014944,131552.7996072088,263323.50690870325,50.04137642264522,49.95862357735476,0.0
2024-08-25 19:00:00,2770.56,63985.0,39.24609075601238,2.4207459094580934,0,108733.64920497766,154891.4270166761,263625.0762216538,41.24556387555306,58.754436124446926,0.0
2024-08-25 20:00:00,2767.07,63930.0,95.15227110102427,0.0,0,263292.99479551124,0.0,263292.99479551124,100.0,0.0,0.0
2024-08-25 21:00:00,2768.27,64117.0,49.77582334382578,1.9640201360161307,0,137792.9184880126,125927.07906094626,263719.99754895887,52.24970414404457,47.75029585595543,0.0
2024-08-25 22:00:00,2771.87,64118.0,0.0,4.113105690362288,0,0.0,263724.1106546492,263724.1106546492,0.0,100.0,0.0
2024-08-25 23:00:00,2778.68,64265.0,95.14303003194566,0.0,0,264372.03468916676,0.0,264372.03468916676,100.0,0.0,0.0
2024-08-26 00:00:00,2767.56,64308.0,95.14303003194566,0.0,0,263314.0441952115,0.0,263314.0441952115,100.0,0.0,0.0
2024-08-26 01:00:00,2746.97,64143.0,10.302418212026126,3.651201773470431,0,28300.433755889404,234199.03535571386,262499.4691116033,10.781139425412437,89.21886057458755,0.0
2024-08-26 02:00:00,2752.98,63999.0,0.0,4.092410225770595,0,0.0,261910.16203909233,261910.16203909233,0.0,100.0,0.0
2024-08-26 03:00:00,2748.08,63871.0,52.78020244483881,1.8220178489117016,0,145044.21873461263,116374.1020278393,261418.3207624519,55.48357066619397,44.51642933380604,0.0
2024-08-26 04:00:00,2738.73,63780.0,95.12762392741547,0.0,0,260528.87747873057,0.0,260528.87747873057,100.0,0.0,0.0
2024-08-26 05:00:00,2744.91,63907.0,95.12762392741547,0.0,0,261116.76619460198,0.0,261116.76619460198,100.0,0.0,0.0
