Timestamp,Date,Measure,PAXG,XAUT,TXAU,TXAG,TXPT,VNXAU,WTGOLD
1568592000000,2019-09-16,Circulating Market Value (Dollar),3621924.08,,,,,,
1568678400000,2019-09-17,Circulating Market Value (Dollar),3849525.39,,,,,,
1568764800000,2019-09-18,Circulating Market Value (Dollar),3634625.66,,,,,,
1568851200000,2019-09-19,Circulating Market Value (Dollar),3624969.79,,,,,,
1568937600000,2019-09-20,Circulating Market Value (Dollar),3660449.60,,,,,,
1569024000000,2019-09-21,Circulating Market Value (Dollar),3636539.42,,,,,,
1569110400000,2019-09-22,Circulating Market Value (Dollar),3655399.21,,,,,,
1569196800000,2019-09-23,Circulating Market Value (Dollar),3626822.34,,,,,,
1569283200000,2019-09-24,Circulating Market Value (Dollar),3657681.07,,,,,,
1569369600000,2019-09-25,Circulating Market Value (Dollar),3725688.26,,,,,,
1569456000000,2019-09-26,Circulating Market Value (Dollar),3640222.75,,,,,,
1569542400000,2019-09-27,Circulating Market Value (Dollar),4237683.72,,,,,,
1569628800000,2019-09-28,Circulating Market Value (Dollar),4254846.88,,,,,,
1569715200000,2019-09-29,Circulating Market Value (Dollar),4279158.75,,,,,,
1569801600000,2019-09-30,Circulating Market Value (Dollar),4273148.24,,,,,,
1569888000000,2019-10-01,Circulating Market Value (Dollar),4240699.95,,,,,,
1569974400000,2019-10-02,Circulating Market Value (Dollar),4102032.97,,,,,,
1570060800000,2019-10-03,Circulating Market Value (Dollar),4102032.97,,,,,,
1570147200000,2019-10-04,Circulating Market Value (Dollar),4226797.12,,,,,,
1570233600000,2019-10-05,Circulating Market Value (Dollar),4213965.98,,,,,,
1570320000000,2019-10-06,Circulating Market Value (Dollar),4200508.48,,,,,,
1570406400000,2019-10-07,Circulating Market Value (Dollar),4271931.53,,,,,,
1570492800000,2019-10-08,Circulating Market Value (Dollar),4266835.34,,,,,,
1570579200000,2019-10-09,Circulating Market Value (Dollar),4265111.93,,,,,,
1570665600000,2019-10-10,Circulating Market Value (Dollar),4248469.19,,,,,,
1570752000000,2019-10-11,Circulating Market Value (Dollar),4303068.14,,,,,,
1570838400000,2019-10-12,Circulating Market Value (Dollar),4284328.99,,,,,,
1570924800000,2019-10-13,Circulating Market Value (Dollar),4259325.28,,,,,,
