Timestamp,Date,Measure,XEVT,bERNX,bHIGH,bC3M
1695772800000,2023-09-27,Total Asset Value (Dollar),,,2251003.06,8642928.39
1695859200000,2023-09-28,Total Asset Value (Dollar),,,2251003.06,8642928.39
1695945600000,2023-09-29,Total Asset Value (Dollar),,,2262179.70,8698505.10
1696032000000,2023-09-30,Total Asset Value (Dollar),,,2273442.77,8711950.53
1696118400000,2023-10-01,Total Asset Value (Dollar),,,2273442.77,8711950.53
1696204800000,2023-10-02,Total Asset Value (Dollar),,,2268819.59,8694233.70
1696291200000,2023-10-03,Total Asset Value (Dollar),,,2248689.92,8628330.46
1696377600000,2023-10-04,Total Asset Value (Dollar),,,2241255.13,8614783.02
1696464000000,2023-10-05,Total Asset Value (Dollar),,,2232439.97,9080342.41
1696550400000,2023-10-06,Total Asset Value (Dollar),,,2248890.43,9134730.83
1696636800000,2023-10-07,Total Asset Value (Dollar),,,2257431.61,8725250.17
1696723200000,2023-10-08,Total Asset Value (Dollar),,,2257431.61,8725250.17
1696809600000,2023-10-09,Total Asset Value (Dollar),,,2249968.59,12423435.97
1696896000000,2023-10-10,Total Asset Value (Dollar),,,2248427.54,12437282.56
1696982400000,2023-10-11,Total Asset Value (Dollar),,,2259013.47,12484490.20
1697068800000,2023-10-12,Total Asset Value (Dollar),,,2263724.82,12509413.15
1697155200000,2023-10-13,Total Asset Value (Dollar),,,2254901.14,12405058.29
1697241600000,2023-10-14,Total Asset Value (Dollar),,,2248635.78,12378462.22
1697328000000,2023-10-15,Total Asset Value (Dollar),,,2248635.78,12378462.22
1697414400000,2023-10-16,Total Asset Value (Dollar),,,2249893.96,12384503.17
1697500800000,2023-10-17,Total Asset Value (Dollar),,,2252026.30,12434339.14
1697587200000,2023-10-18,Total Asset Value (Dollar),,,2257180.83,12455948.64
1697673600000,2023-10-19,Total Asset Value (Dollar),,,2244621.10,12416175.08
1697760000000,2023-10-20,Total Asset Value (Dollar),,,2245479.80,12469556.43
1697846400000,2023-10-21,Total Asset Value (Dollar),,,2245925.49,12486884.31
1697932800000,2023-10-22,Total Asset Value (Dollar),,,2245925.49,12486884.31
1698019200000,2023-10-23,Total Asset Value (Dollar),,,2244398.35,12478394.32
1698105600000,2023-10-24,Total Asset Value (Dollar),,,2261976.67,12576650.24
1698192000000,2023-10-25,Total Asset Value (Dollar),,,2255632.03,12484123.23
1698278400000,2023-10-26,Total Asset Value (Dollar),,,2256150.62,12453735.35
1698364800000,2023-10-27,Total Asset Value (Dollar),,,2248236.69,12454730.22
1698451200000,2023-10-28,Total Asset Value (Dollar),,,2251563.41,12469742.58
1698537600000,2023-10-29,Total Asset Value (Dollar),,,2251563.41,12469742.58
1698624000000,2023-10-30,Total Asset Value (Dollar),,,2249470.89,12458154.30
1698710400000,2023-10-31,Total Asset Value (Dollar),,,2265490.56,12518815.61
1698796800000,2023-11-01,Total Asset Value (Dollar),,,2259259.61,12480165.86
1698883200000,2023-11-02,Total Asset Value (Dollar),,,2267557.94,12481829.83
1698969600000,2023-11-03,Total Asset Value (Dollar),,,2295170.93,12532981.11
1699056000000,2023-11-04,Total Asset Value (Dollar),,,2325165.51,12675935.36
1699142400000,2023-11-05,Total Asset Value (Dollar),,,2325165.51,12675935.36
1699228800000,2023-11-06,Total Asset Value (Dollar),,,2323247.59,12665478.52
1699315200000,2023-11-07,Total Asset Value (Dollar),,,2325872.42,12652554.32
1699401600000,2023-11-08,Total Asset Value (Dollar),,,2315102.41,12625411.22
1699488000000,2023-11-09,Total Asset Value (Dollar),,,2325952.28,12644712.07
1699574400000,2023-11-10,Total Asset Value (Dollar),,,2316613.89,12595229.34
1699660800000,2023-11-11,Total Asset Value (Dollar),,,2319006.88,12618141.17
1699747200000,2023-11-12,Total Asset Value (Dollar),,,2319006.88,12633745.57
1699833600000,2023-11-13,Total Asset Value (Dollar),,,2317311.33,12624507.90
1699920000000,2023-11-14,Total Asset Value (Dollar),,,2319250.12,12637210.08
1700006400000,2023-11-15,Total Asset Value (Dollar),,,2364679.85,12854580.69
1700092800000,2023-11-16,Total Asset Value (Dollar),,,2370768.67,12813766.48
1700179200000,2023-11-17,Total Asset Value (Dollar),,,2368560.34,12827163.70
1700265600000,2023-11-18,Total Asset Value (Dollar),,,2382559.80,12904071.04
1700352000000,2023-11-19,Total Asset Value (Dollar),,,2382559.80,12904071.04
1700438400000,2023-11-20,Total Asset Value (Dollar),,,2380618.50,12893556.21
1700524800000,2023-11-21,Total Asset Value (Dollar),,,2390306.48,12935317.99
1700611200000,2023-11-22,Total Asset Value (Dollar),,,2382338.22,12907902.53
1700697600000,2023-11-23,Total Asset Value (Dollar),,,2378639.67,12871971.13
1700784000000,2023-11-24,Total Asset Value (Dollar),,,2378229.18,12898208.62
1700870400000,2023-11-25,Total Asset Value (Dollar),,,2398244.77,12947293.09
1700956800000,2023-11-26,Total Asset Value (Dollar),,,2398244.77,12947293.09
1701043200000,2023-11-27,Total Asset Value (Dollar),,,2396786.08,12939418.03
1701129600000,2023-11-28,Total Asset Value (Dollar),,,2394581.03,12964385.99
1701216000000,2023-11-29,Total Asset Value (Dollar),,,2409465.69,13011587.52
1701302400000,2023-11-30,Total Asset Value (Dollar),,,2414882.41,12980557.25
1701388800000,2023-12-01,Total Asset Value (Dollar),,,2406137.43,12896055.60
1701475200000,2023-12-02,Total Asset Value (Dollar),,,2409883.53,12890281.68
1701561600000,2023-12-03,Total Asset Value (Dollar),,,2408587.46,12883348.08
1701648000000,2023-12-04,Total Asset Value (Dollar),,,2409376.94,12887571.72
1701734400000,2023-12-05,Total Asset Value (Dollar),,,2397037.06,12823916.63
1701820800000,2023-12-06,Total Asset Value (Dollar),,,2391215.06,12777242.28
1701907200000,2023-12-07,Total Asset Value (Dollar),,,2389806.26,12749468.99
1701993600000,2023-12-08,Total Asset Value (Dollar),,,2391456.57,12781442.26
1702080000000,2023-12-09,Total Asset Value (Dollar),,,2391410.16,12761258.70
1702166400000,2023-12-10,Total Asset Value (Dollar),,,2391410.16,12761258.70
1702252800000,2023-12-11,Total Asset Value (Dollar),,,2389507.91,12751106.26
1702339200000,2023-12-12,Total Asset Value (Dollar),,,2391554.02,12749302.67
1702425600000,2023-12-13,Total Asset Value (Dollar),,,2403463.10,12793766.02
1702512000000,2023-12-14,Total Asset Value (Dollar),,,2415694.89,12896379.09
1702598400000,2023-12-15,Total Asset Value (Dollar),,,2472416.89,13032145.69
1702684800000,2023-12-16,Total Asset Value (Dollar),,,2459409.54,12929849.24
1702771200000,2023-12-17,Total Asset Value (Dollar),,,2459409.54,12929849.24
1702857600000,2023-12-18,Total Asset Value (Dollar),,,2456041.83,12912144.47
1702944000000,2023-12-19,Total Asset Value (Dollar),,,2458177.08,12948901.37
1703030400000,2023-12-20,Total Asset Value (Dollar),,,2476087.78,13019583.13
1703116800000,2023-12-21,Total Asset Value (Dollar),,,2469527.16,12974801.64
1703203200000,2023-12-22,Total Asset Value (Dollar),,,2483359.95,13058485.41
1703289600000,2023-12-23,Total Asset Value (Dollar),,,2494870.14,13078085.33
1703376000000,2023-12-24,Total Asset Value (Dollar),,,2494955.41,13078532.41
1703462400000,2023-12-25,Total Asset Value (Dollar),,,2492805.85,13067265.32
1703548800000,2023-12-26,Total Asset Value (Dollar),,,2493564.20,13080056.76
1703635200000,2023-12-27,Total Asset Value (Dollar),,,2498605.80,13106503.30
1703721600000,2023-12-28,Total Asset Value (Dollar),,,2521017.09,13179452.51
