Timestamp,Date,Measure,Centrifuge,Maple,Credix,TrueFi,Figure,Goldfinch
1602979200000,2020-10-18,Outstanding Capital (Dollar),,,,,,
1603065600000,2020-10-19,Outstanding Capital (Dollar),,,,,,
1603152000000,2020-10-20,Outstanding Capital (Dollar),,,,,,
1603238400000,2020-10-21,Outstanding Capital (Dollar),,,,,,
1603324800000,2020-10-22,Outstanding Capital (Dollar),53107.91,,,,,
1603411200000,2020-10-23,Outstanding Capital (Dollar),52919.71,,,,,
1603497600000,2020-10-24,Outstanding Capital (Dollar),58160.81,,,,,
1603584000000,2020-10-25,Outstanding Capital (Dollar),58365.83,,,,,
1603670400000,2020-10-26,Outstanding Capital (Dollar),58083.32,,,,,
1603756800000,2020-10-27,Outstanding Capital (Dollar),58167.50,,,,,
1603843200000,2020-10-28,Outstanding Capital (Dollar),122966.88,,,,,
1603929600000,2020-10-29,Outstanding Capital (Dollar),122815.65,,,,,
1604016000000,2020-10-30,Outstanding Capital (Dollar),122676.99,,,,,
1604102400000,2020-10-31,Outstanding Capital (Dollar),188302.44,,,,,
1604188800000,2020-11-01,Outstanding Capital (Dollar),188402.18,,,,,
1604275200000,2020-11-02,Outstanding Capital (Dollar),188420.49,,,,,
1604361600000,2020-11-03,Outstanding Capital (Dollar),187792.37,,,,,
1604448000000,2020-11-04,Outstanding Capital (Dollar),188248.22,,,,,
1604534400000,2020-11-05,Outstanding Capital (Dollar),188337.65,,,,,
1604620800000,2020-11-06,Outstanding Capital (Dollar),245613.35,,,,,
1604707200000,2020-11-07,Outstanding Capital (Dollar),245942.29,,,,,
1604793600000,2020-11-08,Outstanding Capital (Dollar),245862.27,,,,,
1604880000000,2020-11-09,Outstanding Capital (Dollar),245943.98,,,,,
1604966400000,2020-11-10,Outstanding Capital (Dollar),247043.09,,,,,
1605052800000,2020-11-11,Outstanding Capital (Dollar),245627.80,,,,,
1605139200000,2020-11-12,Outstanding Capital (Dollar),245034.57,,,,,
1605225600000,2020-11-13,Outstanding Capital (Dollar),245954.62,,,,,
1605312000000,2020-11-14,Outstanding Capital (Dollar),246072.37,,,,,
1605398400000,2020-11-15,Outstanding Capital (Dollar),363769.64,,,,,
1605484800000,2020-11-16,Outstanding Capital (Dollar),375781.97,,,,,
1605571200000,2020-11-17,Outstanding Capital (Dollar),375309.75,,,,,
1605657600000,2020-11-18,Outstanding Capital (Dollar),357945.60,,,,,
1605744000000,2020-11-19,Outstanding Capital (Dollar),357313.35,,,,,
1605830400000,2020-11-20,Outstanding Capital (Dollar),421759.81,,,,,
1605916800000,2020-11-21,Outstanding Capital (Dollar),421151.23,,,,,
1606003200000,2020-11-22,Outstanding Capital (Dollar),419946.45,,,,,
1606089600000,2020-11-23,Outstanding Capital (Dollar),441845.42,,,,,
1606176000000,2020-11-24,Outstanding Capital (Dollar),442920.36,,,,,
1606262400000,2020-11-25,Outstanding Capital (Dollar),442960.56,,,3500000.00,,
1606348800000,2020-11-26,Outstanding Capital (Dollar),383538.77,,,3500000.00,,
1606435200000,2020-11-27,Outstanding Capital (Dollar),385574.91,,,8500000.00,,
1606521600000,2020-11-28,Outstanding Capital (Dollar),387174.08,,,8500000.00,,
1606608000000,2020-11-29,Outstanding Capital (Dollar),455478.76,,,8500000.00,,
1606694400000,2020-11-30,Outstanding Capital (Dollar),389430.39,,,8500000.00,,
1606780800000,2020-12-01,Outstanding Capital (Dollar),514035.48,,,8500000.00,,
1606867200000,2020-12-02,Outstanding Capital (Dollar),513221.48,,,8500000.00,,
1606953600000,2020-12-03,Outstanding Capital (Dollar),513043.21,,,8500000.00,,
1607040000000,2020-12-04,Outstanding Capital (Dollar),512820.38,,,8500000.00,,
1607126400000,2020-12-05,Outstanding Capital (Dollar),445509.23,,,8500000.00,,
1607212800000,2020-12-06,Outstanding Capital (Dollar),446368.79,,,8500000.00,,
1607299200000,2020-12-07,Outstanding Capital (Dollar),446438.94,,,8500000.00,,
1607385600000,2020-12-08,Outstanding Capital (Dollar),446186.42,,,8500000.00,,
1607472000000,2020-12-09,Outstanding Capital (Dollar),489971.55,,,8500000.00,,
1607558400000,2020-12-10,Outstanding Capital (Dollar),490582.60,,,3500000.00,,
1607644800000,2020-12-11,Outstanding Capital (Dollar),537598.74,,,4500000.00,,
1607731200000,2020-12-12,Outstanding Capital (Dollar),538671.34,,,4500000.00,,
1607817600000,2020-12-13,Outstanding Capital (Dollar),536745.99,,,4500000.00,,
1607904000000,2020-12-14,Outstanding Capital (Dollar),536264.60,,,11000000.00,,
1607990400000,2020-12-15,Outstanding Capital (Dollar),536367.24,,,11000000.00,,
1608076800000,2020-12-16,Outstanding Capital (Dollar),536445.91,,,11000000.00,,
1608163200000,2020-12-17,Outstanding Capital (Dollar),537243.27,,,11000000.00,,
1608249600000,2020-12-18,Outstanding Capital (Dollar),519931.69,,,12000000.00,,
1608336000000,2020-12-19,Outstanding Capital (Dollar),628337.22,,,12000000.00,,
1608422400000,2020-12-20,Outstanding Capital (Dollar),630763.84,,,12000000.00,,
1608508800000,2020-12-21,Outstanding Capital (Dollar),630212.25,,,12000000.00,,
