loan_id,pool_id,protocol_id,protocol_name,network_id,network_name,base_asset_id,base_asset_ticker,loan_type,amortization_type,asset_status,investment_status,term_days,payment_interval_days,written_off_principal_token,principal_paid_token,interest_paid_dollar,outstanding_principal_dollar,defaulted_loans_amount_dollar,interest_paid_token,written_off_principal_dollar,outstanding_principal_token,principal_paid_dollar,funded_assets_token,funded_assets_dollar,base_interest_rate,management_fee_rate,late_fee_interest_rate,funding_open_timestamp,term_start_timestamp,term_end_timestamp
0xda8f7941192590408dce701a60fb3892455669ce,0xfe119e9c24ab79f1bdd5dd884b86ceea2ee75d92,3,Maple,1,Ethereum,4,USDC,open_term,bullet,active,full,,7.00,0.00,32987976.60,776609.05,19852999.92,0.00,776657.20,0.00,19854230.66,32985931.71,52842207.26,52838931.63,4.87,,0,2024-08-22T15:09:11,2024-08-22T15:09:11,null
0xf6950f28353ca676100c2a92dd360dea16a213ce,0x6f6c8013f639979c84b756c7fc1500eb5af18dc4,3,Maple,1,Ethereum,4,USDC,fixed_term,bullet,liquidated,full,90,30.00,0.00,0.00,236697.66,14999070.17,14999070.17,236712.33,0.00,15000000.00,0.00,15000000.00,14999070.17,12,,0,2022-09-21T09:22:59,2022-09-21T09:23:59,null
0x418749e294cabce5a714efccc22a8aade6f9db57,0x8481a6ebaf5c7dabc3f7e09e44a89531fd31f822,1,Goldfinch,1,Ethereum,4,USDC,term_loan_fixed,bullet,active,full,1095,30.00,0.00,0.06,2912433.29,11811534.98,0.00,2912613.84,0.00,11812267.21,0.06,11812267.27,11811535.04,10,0,0,2022-02-08T16:00:00,2022-02-21T16:13:56,2025-02-20T16:13:56
0x29356f80d6016583c03991cda7dd42259517c005,0xe9d33286f0e37f517b1204aa6da085564414996d,3,Maple,1,Ethereum,4,USDC,open_term,bullet,active,full,,90.00,0.00,3156206.66,1338896.17,11293589.76,0.00,1338979.17,0.00,11294289.88,3156011.01,14450496.54,14449600.77,16.2,,0,2024-07-22T18:05:59,2024-07-22T18:05:59,null
0x2466f80f4743825fff87e07e43a69b4d654db04f,0xc1dd3f011290f212227170f0d02f511ebf57e433,3,Maple,1,Ethereum,4,USDC,open_term,bullet,active,full,,21.00,0.00,0.00,67973.79,10999318.12,0.00,67978.00,0.00,11000000.00,0.00,11000000.00,10999318.12,9.25,,0,2024-07-18T23:19:59,2024-07-18T23:19:59,null
0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7-0x5,0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,892004.13,-9208859.34,10584914.78,0.00,-9207648.65,0.00,10583523.17,892121.42,10099652.78,10100980.76,8.39,0,0,2023-01-04T21:08:35,2023-01-05T18:31:59,null
0x2cb5c20309b2dbfdda758237f20c94b5f72d0331,0x1a066b0109545455bc771e49e6edef6303cb0a93,3,Maple,1,Ethereum,786,wETH,fixed_term,bullet,liquidated,full,90,30.00,0.00,0.00,48438.80,10523906.25,10523906.25,18.41,0.00,4000.00,0.00,4000.00,10523906.25,7,,0,2022-10-13T16:30:23,2022-10-13T18:24:47,null
0x02c05649e2b11caafc12756c722b76d0d42f0131,0xc1dd3f011290f212227170f0d02f511ebf57e433,3,Maple,1,Ethereum,4,USDC,open_term,bullet,active,full,,21.00,0.00,0.00,457824.48,10339359.04,0.00,457852.86,0.00,10340000.00,0.00,10340000.00,10339359.04,14.5,,0,2024-04-22T17:38:23,2024-04-22T17:38:23,null
0xb26b42dd5771689d0a7faeea32825ff9710b9c11,0x8481a6ebaf5c7dabc3f7e09e44a89531fd31f822,1,Goldfinch,1,Ethereum,4,USDC,term_loan_fixed,bullet,active,full,745,30.00,0.00,0.17,1918648.17,10149370.64,0.00,1918767.11,0.00,10149999.83,0.17,10150000.00,10149370.81,10,0,0,2022-03-17T15:00:00,2022-03-20T18:10:58,2024-04-03T18:10:58
0x323bca025f293f9663f3162ff6cbc8edb8cf02b5,0xfebd6f15df3b73dc4307b1d7e65d46413e710c27,3,Maple,1,Ethereum,4,USDC,fixed_term,bullet,liquidated,full,180,30.00,0.00,0.00,49969.50,9999380.11,9999380.11,49972.60,0.00,10000000.00,0.00,9951178.08,9950561.22,7.6,,0,2022-05-06T03:51:45,2022-05-06T07:22:21,null
