Timestamp,Date,Measure,bCSPX,bCOIN
1695772800000,2023-09-27,Circulating Market Value (Dollar),2508015.92,
1695859200000,2023-09-28,Circulating Market Value (Dollar),2508015.92,
1695945600000,2023-09-29,Circulating Market Value (Dollar),2505215.92,
1696032000000,2023-09-30,Circulating Market Value (Dollar),2534560.03,
1696118400000,2023-10-01,Circulating Market Value (Dollar),2525935.99,
1696204800000,2023-10-02,Circulating Market Value (Dollar),2525935.99,
1696291200000,2023-10-03,Circulating Market Value (Dollar),2506952.08,
1696377600000,2023-10-04,Circulating Market Value (Dollar),2500260.03,
1696464000000,2023-10-05,Circulating Market Value (Dollar),2481920.07,
1696550400000,2023-10-06,Circulating Market Value (Dollar),2488528.03,
1696636800000,2023-10-07,Circulating Market Value (Dollar),2476992.04,
1696723200000,2023-10-08,Circulating Market Value (Dollar),2501464.01,
1696809600000,2023-10-09,Circulating Market Value (Dollar),2501464.01,
1696896000000,2023-10-10,Circulating Market Value (Dollar),2516696.02,
1696982400000,2023-10-11,Circulating Market Value (Dollar),2550156.05,
1697068800000,2023-10-12,Circulating Market Value (Dollar),2557128.03,
1697155200000,2023-10-13,Circulating Market Value (Dollar),2555335.99,
1697241600000,2023-10-14,Circulating Market Value (Dollar),2555839.97,
1697328000000,2023-10-15,Circulating Market Value (Dollar),2537135.99,
1697414400000,2023-10-16,Circulating Market Value (Dollar),2537135.99,
1697500800000,2023-10-17,Circulating Market Value (Dollar),2551360.03,
1697587200000,2023-10-18,Circulating Market Value (Dollar),2541167.99,
1697673600000,2023-10-19,Circulating Market Value (Dollar),2547832.01,
1697760000000,2023-10-20,Circulating Market Value (Dollar),2528120.07,
1697846400000,2023-10-21,Circulating Market Value (Dollar),2495024.05,
1697932800000,2023-10-22,Circulating Market Value (Dollar),2480688.06,
1698019200000,2023-10-23,Circulating Market Value (Dollar),2480688.06,
1698105600000,2023-10-24,Circulating Market Value (Dollar),2469767.99,
1698192000000,2023-10-25,Circulating Market Value (Dollar),2488696.02,
1698278400000,2023-10-26,Circulating Market Value (Dollar),2464111.94,
1698364800000,2023-10-27,Circulating Market Value (Dollar),2436056.05,
1698451200000,2023-10-28,Circulating Market Value (Dollar),2429056.05,
1698537600000,2023-10-29,Circulating Market Value (Dollar),2431407.96,
1698624000000,2023-10-30,Circulating Market Value (Dollar),2431407.96,1072316.98
1698710400000,2023-10-31,Circulating Market Value (Dollar),2433760.03,1072316.98
1698796800000,2023-11-01,Circulating Market Value (Dollar),2443167.99,1115039.98
1698883200000,2023-11-02,Circulating Market Value (Dollar),2464896.02,1115039.98
1698969600000,2023-11-03,Circulating Market Value (Dollar),2507679.93,1178821.46
1699056000000,2023-11-04,Circulating Market Value (Dollar),2549903.98,1281689.98
1699142400000,2023-11-05,Circulating Market Value (Dollar),2558639.97,1281689.98
1699228800000,2023-11-06,Circulating Market Value (Dollar),2558639.97,1281689.98
1699315200000,2023-11-07,Circulating Market Value (Dollar),2558192.04,1299870.05
1699401600000,2023-11-08,Circulating Market Value (Dollar),2556343.95,1308505.54
1699488000000,2023-11-09,Circulating Market Value (Dollar),2570343.95,1349410.50
1699574400000,2023-11-10,Circulating Market Value (Dollar),2576503.98,1338048.00
1699660800000,2023-11-11,Circulating Market Value (Dollar),2559143.95,1406829.01
1699747200000,2023-11-12,Circulating Market Value (Dollar),2564407.96,1406829.01
1699833600000,2023-11-13,Circulating Market Value (Dollar),2564407.96,1406829.01
1699920000000,2023-11-14,Circulating Market Value (Dollar),2579696.02,1407737.97
1700006400000,2023-11-15,Circulating Market Value (Dollar),2619456.05,1403495.99
1700092800000,2023-11-16,Circulating Market Value (Dollar),2642024.05,1395163.44
1700179200000,2023-11-17,Circulating Market Value (Dollar),2640735.99,1486972.52
1700265600000,2023-11-18,Circulating Market Value (Dollar),2648575.95,1468337.97
1700352000000,2023-11-19,Circulating Market Value (Dollar),2640903.98,1468337.97
1700438400000,2023-11-20,Circulating Market Value (Dollar),2640903.98,1468337.97
